reader_id,first_name,last_name,city,subscription_type,registration_date
1,Ethan,Leroy,Roubaix,Standard,2023-09-08
2,Ethan,Thomas,Villeneuve-d'Ascq,Premium,2024-11-23
3,Zoé,Michel,Croix,Standard,2023-02-02
4,Lina,Durand,Lille,Standard,2024-06-01
5,Tom,Petit,Mons-en-Barœul,Standard,2025-01-03
6,Nora,Garcia,Croix,Senior,2024-08-26
7,Clara,Richard,Lambersart,Standard,2024-12-15
8,Jules,Robert,Marcq-en-Barœul,Étudiant,2023-08-09
9,Sarah,Lefebvre,La Madeleine,Standard,2023-04-10
10,Paul,Leroy,La Madeleine,Étudiant,2023-02-14
11,Lucas,Lefebvre,Wasquehal,Famille,2023-03-22
12,Louis,Fournier,Croix,Étudiant,2024-01-06
13,Manon,Dubois,MONS-EN-BARŒUL,Premium,2023-02-16
14,Sarah,Durand,Villeneuve-d'Ascq,Étudiant,2023-04-14
15,Chloé,Laurent,Marcq-en-Barœul,Étudiant,2023-06-16
16,Lina,Leroy,La Madeleine,Étudiant,2024-12-19
17,Léa,Richard,Roubaix ,Famille,2024-06-30
18,Chloé,Lefebvre,Villeneuve-d'Ascq,Premium,2023-10-04
19,Yanis,Simon,Croix,premium,2025-02-25
20,Louis,Bernard,Lille,Premium,2023-11-20
21,Sarah,Petit,Marcq-en-Barœul,Étudiant,2024-08-03
22,Léa,David,La Madeleine,Premium,2024-02-10
23,Jules,Robert,Wasquehal,Premium,2023-09-10
24,Jules,Vincent,Croix,Famille,2024-03-14
25,Noah,Durand,Mons-en-Barœul,Senior,2023-05-22
26,Sarah,Bernard,CROIX,Senior,2023-04-23
27,Sofia,Michel,Tourcoing,Premium,2024-09-02
28,Louise,Fournier,Roubaix,Senior,2024-04-24
29,Tom,Martin,Croix,Étudiant,2024-11-27
30,Clara,Leroy,Roubaix,Famille,2025-02-26
31,Camille,Michel,La Madeleine,Standard,2023-06-11
32,Ethan,Leroy,Wasquehal,Standard,2024-05-27
33,Eva,Thomas,Tourcoing,Famille,2024-10-02
34,Paul,Petit,Lambersart ,Famille,2023-06-06
35,Tom,Bertrand,La Madeleine,Premium,2023-01-01
36,Nathan,Martin,Mons-en-Barœul,Étudiant,2023-04-25
37,Nora,Bernard,La Madeleine,Étudiant,2023-09-04
38,Sarah,David,Mons-en-Barœul,standard,2023-03-12
