commande_id,date_commande,canal_commande,mode_livraison,client_id,client_nom,client_email,client_type,client_ville,magasin_region,magasin_surface_m2,jeu_id,jeu_nom,fournisseur_nom,fournisseur_pays,fournisseur_contact,categorie_nom,sous_categorie_nom,age_minimum,prix_unitaire_catalogue,quantite,remise_pourcentage,prix_unitaire_apres_remise
CMD2001,2026-03-08,Application mobile,Point relais,C001,Alice Martin,alice.martin@example.com,Particulier,Lille,,,J013,Wingspan,Matagot Distribution,France,distribution@matagot.com,Expert,Collection,10,54.9,1,0,54.9
CMD2002,2026-04-11,Site web,Domicile,C007,David Moreau,david.moreau@example.com,Particulier,Amiens,,,J006,Unlock!,Asmodee Distribution,France,pro@asmodee.fr,Coopératif,Escape game,10,32.0,2,5,30.4
CMD2002,2026-04-11,Site web,Domicile,C007,David Moreau,david.moreau@example.com,Particulier,Amiens,,,J014,Just One,Repos Production Distribution,Belgique,pro@rprod.com,Ambiance,Party game,8,21.9,3,0,21.9
CMD2002,2026-04-11,Site web,Domicile,C007,David Moreau,david.moreau@example.com,Particulier,Amiens,,,J001,Kingdomino,Blue Orange Distribution,France,contact@blueorange.fr,Famille,Tuiles,8,19.9,1,0,19.9
CMD2003,2026-02-13,Application mobile,Point relais,C007,David Moreau,david.moreau@example.com,Particulier,Amiens,,,J007,Dixit,Asmodee Distribution,France,pro@asmodee.fr,Famille,Créativité,8,29.9,1,0,29.9
CMD2003,2026-02-13,Application mobile,Point relais,C007,David Moreau,david.moreau@example.com,Particulier,Amiens,,,J002,7 Wonders,Asmodee Distribution,France,pro@asmodee.fr,Stratégie,Draft,10,44.9,1,0,44.9
CMD2003,2026-02-13,Application mobile,Point relais,C007,David Moreau,david.moreau@example.com,Particulier,Amiens,,,J001,Kingdomino,Blue Orange Distribution,France,contact@blueorange.fr,Famille,Tuiles,8,19.9,1,0,19.9
CMD2004,2026-03-29,Site web,Retrait dépôt,C005,La Tanière du Jeu,commande@tanierejeu.fr,Magasin,Nantes,Pays de la Loire,95,J008,Cascadia,Lucky Duck Distribution,France,contact@luckyduck.fr,Placement,Tuiles,10,36.9,9,20,29.52
CMD2004,2026-03-29,Site web,Retrait dépôt,C005,La Tanière du Jeu,commande@tanierejeu.fr,Magasin,Nantes,Pays de la Loire,95,J005,Terraforming Mars,Novalis Distribution,Canada,sales@novalis.ca,Expert,Gestion de ressources,12,59.9,16,15,50.91
CMD2004,2026-03-29,Site web,Retrait dépôt,C005,La Tanière du Jeu,commande@tanierejeu.fr,Magasin,Nantes,Pays de la Loire,95,J014,Just One,Repos Production Distribution,Belgique,pro@rprod.com,Ambiance,Party game,8,21.9,7,20,17.52
CMD2005,2026-04-10,Téléphone,Retrait dépôt,C011,Le Dé Chanceux,contact@dechanceux.fr,Magasin,Rennes,Bretagne,120,J013,Wingspan,Matagot Distribution,France,distribution@matagot.com,Expert,Collection,10,54.9,14,20,43.92
CMD2005,2026-04-10,Téléphone,Retrait dépôt,C011,Le Dé Chanceux,contact@dechanceux.fr,Magasin,Rennes,Bretagne,120,J006,Unlock!,Asmodee Distribution,France,pro@asmodee.fr,Coopératif,Escape game,10,32.0,14,20,25.6
CMD2005,2026-04-10,Téléphone,Retrait dépôt,C011,Le Dé Chanceux,contact@dechanceux.fr,Magasin,Rennes,Bretagne,120,J001,Kingdomino,Blue Orange Distribution,France,contact@blueorange.fr,Famille,Tuiles,8,19.9,13,15,16.91
CMD2006,2026-03-27,Email pro,Livraison magasin,C009,Jeux & Stratagèmes,stock@jeux-stratagemes.fr,Magasin,Bordeaux,Nouvelle-Aquitaine,210,J009,Skyjo,Blackrock Games,France,pro@blackrockgames.fr,Cartes,Collection,8,15.9,15,10,14.31
